"Country","year","Region","Debt_as_pct_of_GDP"
"Belize","X2014","Central America/Caribbean",77.5607355165184
"Belize","X2015","Central America/Caribbean",82.0819772908933
"Belize","X2016","Central America/Caribbean",86.3
"Brazil","X1996","South America",44.1542
"Brazil","X1997","South America",46.4822
"Brazil","X1998","South America",59.8939
"Brazil","X1999","South America",73.8969
"Brazil","X2000","South America",68.4572
"Brazil","X2001","South America",70.0537035431034
"Brazil","X2002","South America",78.797735589593
"Brazil","X2003","South America",73.8229993461769
"Brazil","X2004","South America",70.0768827547608
"Brazil","X2005","South America",68.585171049981
"Brazil","X2006","South America",65.8451918549005
"Brazil","X2007","South America",63.7432046704168
"Brazil","X2008","South America",61.8679802006076
"Brazil","X2009","South America",64.9439204131118
"Brazil","X2010","South America",63.0449225180818
"Brazil","X2011","South America",61.2416771180575
"Brazil","X2012","South America",62.3101473379579
"Brazil","X2013","South America",60.3644234423679
"Brazil","X2014","South America",63.3140558174017
"Brazil","X2015","South America",73.6970948210385
"Brazil","X2016","South America",72.4
"Canada","X1996","North America",100.572680079765
"Canada","X1997","North America",95.5912255974652
"Canada","X1998","North America",93.6139635867043
"Canada","X1999","North America",89.2730990705417
"Canada","X2000","North America",80.705927175747
"Canada","X2001","North America",81.750452650361
"Canada","X2002","North America",79.8879652142331
"Canada","X2003","North America",76.1808824176307
"Canada","X2004","North America",72.1352816828403
"Canada","X2005","North America",70.8678304169007
"Canada","X2006","North America",70.1258605541992
"Canada","X2007","North America",66.8440807050635
"Canada","X2008","North America",67.8343153310832
"Canada","X2009","North America",79.2833194565401
"Canada","X2010","North America",81.097266760121
"Canada","X2011","North America",81.5134686802405
"Canada","X2012","North America",84.8399282864679
"Canada","X2013","North America",86.0798554904283
"Canada","X2014","North America",86.2013144163609
"Canada","X2015","North America",91.4993183037461
"Canada","X2016","North America",98.8
"Chile","X1996","South America",26.8037
"Chile","X1997","South America",26.3245
"Chile","X1998","South America",25.1403
"Chile","X2000","South America",13.1908337634854
"Chile","X2001","South America",14.3948304598851
"Chile","X2002","South America",15.0865970780362
"Chile","X2003","South America",12.6407207964036
"Chile","X2004","South America",10.2943714326824
"Chile","X2005","South America",6.99715090003837
"Chile","X2006","South America",4.99388633635392
"Chile","X2007","South America",3.88988749089032
"Chile","X2008","South America",4.91893468842246
"Chile","X2009","South America",5.83473058284382
"Chile","X2010","South America",8.60053740155804
"Chile","X2011","South America",11.1525253661564
"Chile","X2012","South America",12.0294257401151
"Chile","X2013","South America",12.7908689714649
"Chile","X2014","South America",15.0592432497123
"Chile","X2015","South America",17.5397046382069
"Chile","X2016","South America",18.5
"Colombia","X1997","South America",29.4073304524565
"Colombia","X1998","South America",31.9587436811457
"Colombia","X1999","South America",39.557872364326
"Colombia","X2000","South America",44.2208940871643
"Colombia","X2001","South America",40.829694200559
"Colombia","X2002","South America",47.2382030992589
"Colombia","X2003","South America",44.7485804189778
